[1, 'Audi RS Q8', 'Volksvagen AG', 5, 'кроссовер', 'белый', 'базовая', 0]
[2, 'Audi RS Q8', 'Volksvagen AG', 5, 'кроссовер', 'синий', 'спорт', 0.25]
[3, 'Audi RS Q8', 'Volksvagen AG', 5, 'кроссовер', 'черный', 'престиж', 0.5]
[4, 'Audi RS Q8', 'Volksvagen AG', 5, 'кроссовер', 'красный', 'премиум', 0.75]
[5, 'Audi RS Q8', 'Volksvagen AG', 5, 'кроссовер', 'хамелеон', 'люкс', 1]
[6, 'Maybach GLS', 'Daimler AG', 5, 'кроссовер', 'белый', 'базовая', 0]
[7, 'Maybach GLS', 'Daimler AG', 5, 'кроссовер', 'красный', 'спорт', 0.25]
[8, 'Maybach GLS', 'Daimler AG', 5, 'кроссовер', 'синий', 'престиж', 0.5]
[9, 'Maybach GLS', 'Daimler AG', 5, 'кроссовер', 'хамелеон', 'премиум', 0.75]
[10, 'Maybach GLS', 'Daimler AG', 5, 'кроссовер', 'черный', 'люкс', 1]
[11, 'Mazda 6', 'Mazda Motor', 4, 'седан', 'белый', 'базовая', 0]
[12, 'Mazda 6', 'Mazda Motor', 4, 'седан', 'хамелеон', 'спорт', 0.25]
[13, 'Mazda 6', 'Mazda Motor', 4, 'седан', 'синий', 'престиж', 0.5]
[14, 'Mazda 6', 'Mazda Motor', 4, 'седан', 'черный', 'премиум', 0.75]
[15, 'Mazda 6', 'Mazda Motor', 4, 'седан', 'красный', 'люкс', 1]
[16, 'Bmw X5', 'BMW AG', 5, 'кроссовер', 'белый', 'базовая', 0]
[17, 'Bmw X5', 'BMW AG', 5, 'кроссовер', 'красный', 'спорт', 0.25]
[18, 'Bmw X5', 'BMW AG', 5, 'кроссовер', 'черный', 'престиж', 0.5]
[19, 'Bmw X5', 'BMW AG', 5, 'кроссовер', 'хамелеон', 'премиум', 0.75]
[20, 'Bmw X5', 'BMW AG', 5, 'кроссовер', 'синий', 'люкс', 1]
[21, 'Lamborghini Uris', 'Volksvagen AG', 5, 'кроссовер', 'белый', 'базовая', 0]
[22, 'Lamborghini Uris', 'Volksvagen AG', 5, 'кроссовер', 'красный', 'спорт', 0.25]
[23, 'Lamborghini Uris', 'Volksvagen AG', 5, 'кроссовер', 'синий', 'престиж', 0.5]
[24, 'Lamborghini Uris', 'Volksvagen AG', 5, 'кроссовер', 'хамелеон', 'премиум', 0.75]
[25, 'Lamborghini Uris', 'Volksvagen AG', 5, 'кроссовер', 'черный', 'люкс', 1]
[26, 'Ficker Carma', 'Ficker Automotive', 4, 'седан', 'черный', 'базовая', 0]
[27, 'Ficker Carma', 'Ficker Automotive', 4, 'седан', 'хамелеон', 'спорт', 0.25]
[28, 'Ficker Carma', 'Ficker Automotive', 4, 'седан', 'красный', 'престиж', 0.5]
[29, 'Ficker Carma', 'Ficker Automotive', 4, 'седан', 'синий', 'премиум', 0.75]
[30, 'Ficker Carma', 'Ficker Automotive', 4, 'седан', 'белый', 'люкс', 1]
[31, 'Dodge Dart', 'Crysler Group', 4, 'седан', 'белый', 'базовая', 0]
[32, 'Dodge Dart', 'Crysler Group', 4, 'седан', 'синий', 'спорт', 0.25]
[33, 'Dodge Dart', 'Crysler Group', 4, 'седан', 'черный', 'престиж', 0.5]
[34, 'Dodge Dart', 'Crysler Group', 4, 'седан', 'хамелеон', 'премиум', 0.75]
[35, 'Dodge Dart', 'Crysler Group', 4, 'седан', 'красный', 'люкс', 1]
[36, 'Toyota Camry', 'Toyota Motors', 4, 'седан', 'белый', 'базовая', 0]
[37, 'Toyota Camry', 'Toyota Motors', 4, 'седан', 'синий', 'спорт', 0.25]
[38, 'Toyota Camry', 'Toyota Motors', 4, 'седан', 'красный', 'престиж', 0.5]
[39, 'Toyota Camry', 'Toyota Motors', 4, 'седан', 'хамелеон', 'премиум', 0.75]
[40, 'Toyota Camry', 'Toyota Motors', 4, 'седан', 'черный', 'люкс', 1]
[41, 'Nissan Skyline', 'Nissan Motor', 4, 'седан', 'белый', 'базовая', 0]
[42, 'Nissan Skyline', 'Nissan Motor', 4, 'седан', 'красный', 'спорт', 0.25]
[43, 'Nissan Skyline', 'Nissan Motor', 4, 'седан', 'черный', 'престиж', 0.5]
[44, 'Nissan Skyline', 'Nissan Motor', 4, 'седан', 'хамелеон', 'премиум', 0.75]
[45, 'Nissan Skyline', 'Nissan Motor', 4, 'седан', 'синий', 'люкс', 1]
[46, 'Volksvagen Touareg', 'Volksvagen AG', 7, 'внедорожник', 'белый', 'базовая', 0]
[47, 'Volksvagen Touareg', 'Volksvagen AG', 7, 'внедорожник', 'красный', 'спорт', 0.25]
[48, 'Volksvagen Touareg', 'Volksvagen AG', 7, 'внедорожник', 'синий', 'престиж', 0.5]
